ID,Area_Name,Year,Sub_Group_Name,K_A_Cases_Reported
1,Andhra Pradesh,2001,01. For Adoption,8
2,Arunachal Pradesh,2001,01. For Adoption,0
3,Assam,2001,01. For Adoption,0
4,Bihar,2001,01. For Adoption,18
5,Chandigarh,2001,01. For Adoption,0
6,Chhattisgarh,2001,01. For Adoption,6
7,Delhi,2001,01. For Adoption,5
8,Gujarat,2001,01. For Adoption,3
9,Haryana,2001,01. For Adoption,0
10,Himachal Pradesh,2001,01. For Adoption,0
11,Jammu & Kashmir,2001,01. For Adoption,2
12,Jharkhand,2001,01. For Adoption,0
13,Karnataka,2001,01. For Adoption,0
14,Maharashtra,2001,01. For Adoption,1
15,Meghalaya,2001,01. For Adoption,0
16,Mizoram,2001,01. For Adoption,0
17,Nagaland,2001,01. For Adoption,3
18,Odisha,2001,01. For Adoption,2
19,Punjab,2001,01. For Adoption,3
20,Rajasthan,2001,01. For Adoption,1
21,Sikkim,2001,01. For Adoption,6
22,Tamil Nadu,2001,01. For Adoption,22
23,Uttar Pradesh,2001,01. For Adoption,6
24,West Bengal,2001,01. For Adoption,3
25,Andhra Pradesh,2002,01. For Adoption,0
26,Assam,2002,01. For Adoption,0
27,Bihar,2002,01. For Adoption,3
28,Chhattisgarh,2002,01. For Adoption,0
29,Daman & Diu,2002,01. For Adoption,0
30,Delhi,2002,01. For Adoption,6
31,Gujarat,2002,01. For Adoption,2
32,Haryana,2002,01. For Adoption,0
33,Himachal Pradesh,2002,01. For Adoption,0
34,Jammu & Kashmir,2002,01. For Adoption,0
35,Jharkhand,2002,01. For Adoption,2
36,Karnataka,2002,01. For Adoption,2
37,Madhya Pradesh,2002,01. For Adoption,6
38,Maharashtra,2002,01. For Adoption,1
39,Meghalaya,2002,01. For Adoption,4
40,Nagaland,2002,01. For Adoption,0
41,Odisha,2002,01. For Adoption,1
42,Punjab,2002,01. For Adoption,3
43,Rajasthan,2002,01. For Adoption,1
44,Tamil Nadu,2002,01. For Adoption,36
45,Tripura,2002,01. For Adoption,0
46,Uttar Pradesh,2002,01. For Adoption,8
47,West Bengal,2002,01. For Adoption,11
48,Andhra Pradesh,2003,01. For Adoption,0
49,Arunachal Pradesh,2003,01. For Adoption,0
50,Assam,2003,01. For Adoption,4
51,Bihar,2003,01. For Adoption,0
52,Chandigarh,2003,01. For Adoption,0
53,Chhattisgarh,2003,01. For Adoption,0
54,Daman & Diu,2003,01. For Adoption,0
55,Delhi,2003,01. For Adoption,8
56,Gujarat,2003,01. For Adoption,0
57,Haryana,2003,01. For Adoption,0
58,Himachal Pradesh,2003,01. For Adoption,0
59,Jammu & Kashmir,2003,01. For Adoption,0
60,Jharkhand,2003,01. For Adoption,1
61,Karnataka,2003,01. For Adoption,2
62,Madhya Pradesh,2003,01. For Adoption,2
63,Maharashtra,2003,01. For Adoption,7
64,Meghalaya,2003,01. For Adoption,0
65,Nagaland,2003,01. For Adoption,0
66,Odisha,2003,01. For Adoption,0
67,Puducherry,2003,01. For Adoption,0
68,Punjab,2003,01. For Adoption,7
69,Tamil Nadu,2003,01. For Adoption,21
70,Uttar Pradesh,2003,01. For Adoption,8
71,West Bengal,2003,01. For Adoption,0
72,Andhra Pradesh,2004,01. For Adoption,1
73,Arunachal Pradesh,2004,01. For Adoption,0
74,Assam,2004,01. For Adoption,0
75,Bihar,2004,01. For Adoption,8
76,Chhattisgarh,2004,01. For Adoption,0
77,Gujarat,2004,01. For Adoption,1
78,Himachal Pradesh,2004,01. For Adoption,0
79,Jharkhand,2004,01. For Adoption,1
80,Karnataka,2004,01. For Adoption,1
81,Kerala,2004,01. For Adoption,3
82,Madhya Pradesh,2004,01. For Adoption,2
83,Maharashtra,2004,01. For Adoption,3
84,Manipur,2004,01. For Adoption,0
85,Meghalaya,2004,01. For Adoption,0
86,Mizoram,2004,01. For Adoption,5
87,Nagaland,2004,01. For Adoption,0
88,Odisha,2004,01. For Adoption,0
89,Puducherry,2004,01. For Adoption,0
90,Punjab,2004,01. For Adoption,1
91,Tamil Nadu,2004,01. For Adoption,5
92,Uttar Pradesh,2004,01. For Adoption,6
93,West Bengal,2004,01. For Adoption,18
94,Andhra Pradesh,2005,01. For Adoption,3
95,Arunachal Pradesh,2005,01. For Adoption,2
96,Assam,2005,01. For Adoption,2
97,Bihar,2005,01. For Adoption,26
98,Chandigarh,2005,01. For Adoption,0
99,Chhattisgarh,2005,01. For Adoption,0
100,Delhi,2005,01. For Adoption,2
101,Gujarat,2005,01. For Adoption,0
102,Haryana,2005,01. For Adoption,17
103,Himachal Pradesh,2005,01. For Adoption,0
104,Jammu & Kashmir,2005,01. For Adoption,0
105,Jharkhand,2005,01. For Adoption,1
106,Karnataka,2005,01. For Adoption,1
107,Madhya Pradesh,2005,01. For Adoption,6
108,Maharashtra,2005,01. For Adoption,12
109,Manipur,2005,01. For Adoption,0
110,Meghalaya,2005,01. For Adoption,0
111,Mizoram,2005,01. For Adoption,3
112,Nagaland,2005,01. For Adoption,0
113,Odisha,2005,01. For Adoption,0
114,Punjab,2005,01. For Adoption,2
115,Tamil Nadu,2005,01. For Adoption,33
116,Tripura,2005,01. For Adoption,NULL
117,Uttar Pradesh,2005,01. For Adoption,0
118,West Bengal,2005,01. For Adoption,0
119,Andhra Pradesh,2006,01. For Adoption,0
120,Arunachal Pradesh,2006,01. For Adoption,0
121,Assam,2006,01. For Adoption,0
122,Bihar,2006,01. For Adoption,50
123,Chhattisgarh,2006,01. For Adoption,0
124,Delhi,2006,01. For Adoption,4
125,Gujarat,2006,01. For Adoption,2
126,Himachal Pradesh,2006,01. For Adoption,1
127,Jammu & Kashmir,2006,01. For Adoption,0
128,Jharkhand,2006,01. For Adoption,2
129,Karnataka,2006,01. For Adoption,11
130,Kerala,2006,01. For Adoption,3
131,Madhya Pradesh,2006,01. For Adoption,4
132,Maharashtra,2006,01. For Adoption,13
133,Manipur,2006,01. For Adoption,0
134,Meghalaya,2006,01. For Adoption,0
135,Mizoram,2006,01. For Adoption,0
136,Nagaland,2006,01. For Adoption,0
137,Odisha,2006,01. For Adoption,4
138,Punjab,2006,01. For Adoption,1
139,Tamil Nadu,2006,01. For Adoption,12
140,Tripura,2006,01. For Adoption,NULL
141,Uttar Pradesh,2006,01. For Adoption,0
142,West Bengal,2006,01. For Adoption,0
143,Andhra Pradesh,2007,01. For Adoption,5
144,Arunachal Pradesh,2007,01. For Adoption,0
145,Assam,2007,01. For Adoption,0
146,Bihar,2007,01. For Adoption,62
147,Chhattisgarh,2007,01. For Adoption,1
148,Gujarat,2007,01. For Adoption,0
149,Haryana,2007,01. For Adoption,2
150,Himachal Pradesh,2007,01. For Adoption,0
151,Jammu & Kashmir,2007,01. For Adoption,2
152,Karnataka,2007,01. For Adoption,2
153,Kerala,2007,01. For Adoption,1
154,Madhya Pradesh,2007,01. For Adoption,8
155,Maharashtra,2007,01. For Adoption,1
156,Manipur,2007,01. For Adoption,0
157,Meghalaya,2007,01. For Adoption,0
158,Mizoram,2007,01. For Adoption,0
159,Nagaland,2007,01. For Adoption,0
