ID,Area_Name,Year,Sub_Group_Name,Auto_Theft_Stolen
1,Andaman & Nicobar Islands,2001,1. Motor Cycles/ Scooters,4
2,Andhra Pradesh,2001,1. Motor Cycles/ Scooters,2725
3,Arunachal Pradesh,2001,1. Motor Cycles/ Scooters,27
4,Assam,2001,1. Motor Cycles/ Scooters,205
5,Bihar,2001,1. Motor Cycles/ Scooters,946
6,Chandigarh,2001,1. Motor Cycles/ Scooters,281
7,Chhattisgarh,2001,1. Motor Cycles/ Scooters,790
8,Dadra & Nagar Haveli,2001,1. Motor Cycles/ Scooters,12
9,Delhi,2001,1. Motor Cycles/ Scooters,3185
10,Goa,2001,1. Motor Cycles/ Scooters,152
11,Gujarat,2001,1. Motor Cycles/ Scooters,4830
12,Haryana,2001,1. Motor Cycles/ Scooters,1967
13,Himachal Pradesh,2001,1. Motor Cycles/ Scooters,47
14,Jammu & Kashmir,2001,1. Motor Cycles/ Scooters,460
15,Jharkhand,2001,1. Motor Cycles/ Scooters,211
16,Karnataka,2001,1. Motor Cycles/ Scooters,3087
17,Kerala,2001,1. Motor Cycles/ Scooters,1038
18,Madhya Pradesh,2001,1. Motor Cycles/ Scooters,3756
19,Maharashtra,2001,1. Motor Cycles/ Scooters,6244
20,Manipur,2001,1. Motor Cycles/ Scooters,57
21,Meghalaya,2001,1. Motor Cycles/ Scooters,22
22,Mizoram,2001,1. Motor Cycles/ Scooters,11
23,Nagaland,2001,1. Motor Cycles/ Scooters,53
24,Odisha,2001,1. Motor Cycles/ Scooters,778
25,Puducherry,2001,1. Motor Cycles/ Scooters,281
26,Punjab,2001,1. Motor Cycles/ Scooters,609
27,Rajasthan,2001,1. Motor Cycles/ Scooters,3273
28,Sikkim,2001,1. Motor Cycles/ Scooters,2
29,Tamil Nadu,2001,1. Motor Cycles/ Scooters,3858
30,Tripura,2001,1. Motor Cycles/ Scooters,10
31,Uttar Pradesh,2001,1. Motor Cycles/ Scooters,4046
32,Uttarakhand,2001,1. Motor Cycles/ Scooters,236
33,West Bengal,2001,1. Motor Cycles/ Scooters,1904
34,Andaman & Nicobar Islands,2002,1. Motor Cycles/ Scooters,2
35,Andhra Pradesh,2002,1. Motor Cycles/ Scooters,3025
